Data;21621 - Taxa de câmbio - Livre - Iene (venda) - R$/u.m.c.
01/12/2016;0,0299600
02/12/2016;0,0304700
05/12/2016;0,0302300
06/12/2016;0,0301400
07/12/2016;0,0297400
08/12/2016;0,0298000
09/12/2016;0,0294200
12/12/2016;0,0292000
13/12/2016;0,0289600
14/12/2016;0,0287900
15/12/2016;0,0286100
16/12/2016;0,0285300
19/12/2016;0,0288200
20/12/2016;0,0284500
21/12/2016;0,0283900
22/12/2016;0,0283200
23/12/2016;0,0278500
26/12/2016;0,0279500
27/12/2016;0,0278900
28/12/2016;0,0278600
29/12/2016;0,0279200
30/12/2016;0,0279200
Fonte;PTAX
