Data;21622 - Taxa de câmbio - Livre - Iene (compra) - R$/u.m.c.
01/12/2016;0,0299500
02/12/2016;0,0304700
05/12/2016;0,0302100
06/12/2016;0,0301100
07/12/2016;0,0297200
08/12/2016;0,0297900
09/12/2016;0,0294100
12/12/2016;0,0291800
13/12/2016;0,0289500
14/12/2016;0,0287600
15/12/2016;0,0286000
16/12/2016;0,0285200
19/12/2016;0,0288100
20/12/2016;0,0284400
21/12/2016;0,0283800
22/12/2016;0,0283000
23/12/2016;0,0278400
26/12/2016;0,0279300
27/12/2016;0,0278800
28/12/2016;0,0278400
29/12/2016;0,0279200
30/12/2016;0,0279100
Fonte;PTAX
